storeNo,name,storeNoName,latitude,longitude,county,physicalStore,municipality,countryRegion,postalCity,postalCode
180,EP SLEPENDEN - utgått,180 EP SLEPENDEN - utgått,"","",Akershus,true,ASKER,Østlandet,BILLINGSTAD,1396
232,EP Lillestrøm - utgått,232 EP Lillestrøm - utgått,"","",Akershus,true,LILLESTRØM,Østlandet,LILLESTRØM,2000
235,EP Kvadrat - utgått,235 EP Kvadrat - utgått,"","",Rogaland,true,SANDNES,Vestlandet,SANDNES,4313
590,EP DOKKA,590 EP DOKKA,60.83624,10.06889,Innlandet,true,NORDRE LAND,Østlandet,DOKKA,2870
241,EP SANDAKERVEIEN - utgått,241 EP SANDAKERVEIEN - utgått,"","",Oslo,true,OSLO,Østlandet,OSLO,0473
251,EP SOLA - utgått,251 EP SOLA - utgått,"","",Rogaland,true,SOLA,Vestlandet,SOLA,4050
320,EP LADE,320 EP LADE,63.44017,10.46253,Trøndelag,true,TRONDHEIM,Trøndelag,TRONDHEIM,7041
319,EP ØLENSVÅG - utgått,319 EP ØLENSVÅG - utgått,"","",Rogaland,true,VINDAFJORD,Vestlandet,ØLENSVÅG,5582
312,EP ØLENSVÅG,312 EP ØLENSVÅG,59.60504,5.75061,Rogaland,true,VINDAFJORD,Vestlandet,ØLENSVÅG,5582
574,EP ÅLGÅRD,574 EP ÅLGÅRD,58.76628,5.86231,Rogaland,true,GJESDAL,Vestlandet,ÅLGÅRD,4330
417,EP VOLDA,417 EP VOLDA,62.14049,6.09105,Møre og Romsdal,true,VOLDA,Vestlandet,VOLDA,6100
466,EP BRENNÅSEN,466 EP BRENNÅSEN,58.13867,7.8559,Agder,true,KRISTIANSAND,Sørlandet,BRENNÅSEN,4647
451,LETTKAUP EHF. FISKISLØD,451 LETTKAUP EHF. FISKISLØD,"","","",true,"","","",101
452,LETTKAUP EHF. SELFOSS,452 LETTKAUP EHF. SELFOSS,"","","",true,"","","",800
453,LETTKAUP EHF. DALEVEGUR,453 LETTKAUP EHF. DALEVEGUR,"","","",true,"","","",200
455,LETTKAUP EHF. AKUREYRI,455 LETTKAUP EHF. AKUREYRI,"","","",true,"","","",600
454,LETTKAUP EHF. HAFNAFJORDUR,454 LETTKAUP EHF. HAFNAFJORDUR,"","","",true,"","","",220
456,LETTKAUP EHF. STEKKJABREKKUR,456 LETTKAUP EHF. STEKKJABREKKUR,"","","",true,"","","",113
0001,NY1,0001 NY1,"","","",true,"","","",""
00002,NY2,00002 NY2,"","","",true,"","","",""
054,EP ÅSANE - utgått,054 EP ÅSANE - utgått,"","",Vestland,true,BERGEN,Vestlandet,NYBORG,5132
0002,EP BRANDBU - utgått,0002 EP BRANDBU - utgått,"","","",true,"","","",""
0003,NY3,0003 NY3,"","","",true,"","","",""
0004,NY4,0004 NY4,"","","",true,"","","",""
300,EP REVETAL,300 EP REVETAL,59.3694,10.26458,Vestfold,true,TØNSBERG,Østlandet,REVETAL,3174
323,EP BRANDBU,323 EP BRANDBU,60.41727,10.51537,Innlandet,true,GRAN,Østlandet,BRANDBU,2760
49800,EP BUTIKKDRIFT A/S,49800 EP BUTIKKDRIFT A/S,59.21742,10.96402,Østfold,false,FREDRIKSTAD,Østlandet,FREDRIKSTAD,1604
220,EP MOLDE - utgått,220 EP MOLDE - utgått,"","",Møre og Romsdal,true,MOLDE,Vestlandet,MOLDE,6415
386,EP MJØNDALEN,386 EP MJØNDALEN,59.74887,10.02697,Buskerud,true,DRAMMEN,Østlandet,MJØNDALEN,3050
324,EP SANDVIKA,324 EP SANDVIKA,59.88717,10.51848,Akershus,true,BÆRUM,Østlandet,SANDVIKA,1337
055,EP KIRKENES - utgått,055 EP KIRKENES - utgått,"","",Finnmark,true,SØR-VARANGER,Nord-Norge,KIRKENES,9900
325,EP KYRKSÆTERØRA,325 EP KYRKSÆTERØRA,63.29347,9.08651,Trøndelag,true,HEIM,Trøndelag,KYRKSÆTERØRA,7200
326,EP ØREBEKK,326 EP ØREBEKK,59.23222,10.90533,Østfold,true,FREDRIKSTAD,Østlandet,GRESSVIK,1624
327,EP KRØGENES,327 EP KRØGENES,58.47355,8.81403,Agder,true,ARENDAL,Sørlandet,ARENDAL,4841
390,EP FLATÅSEN,390 EP FLATÅSEN,63.37395,10.34572,Trøndelag,true,TRONDHEIM,Trøndelag,FLATÅSEN,7079
329,EP HOMMELVIK,329 EP HOMMELVIK,63.41524,10.80752,Trøndelag,true,MALVIK,Trøndelag,HOMMELVIK,7550
330,EP SYKKYLVEN,330 EP SYKKYLVEN,62.38001,6.57343,Møre og Romsdal,true,SYKKYLVEN,Vestlandet,SYKKYLVEN,6230
332,EP ÅLESUND PLUSS,332 EP ÅLESUND PLUSS,62.47067,6.35431,Møre og Romsdal,true,ÅLESUND,Vestlandet,ÅLESUND,6018
333,EP STØREN,333 EP STØREN,63.04166,10.28826,Trøndelag,true,MIDTRE GAULDAL,Trøndelag,STØREN,7290
331,EP ÅL - utgått,331 EP ÅL - utgått,"","","",true,"","","",""
056,EP OS,056 EP OS,60.20315,5.45643,Vestland,true,BJØRNAFJORDEN,Vestlandet,OS,5210
777777,Logistikk,777777 Logistikk,59.21663,10.96311,"",false,"","","",""
340,EP LOM,340 EP LOM,61.83923,8.57833,Innlandet,true,LOM,Østlandet,LOM,2686
346,EP GAUSDAL,346 EP GAUSDAL,61.22638,10.22247,Innlandet,true,GAUSDAL,Østlandet,ØSTRE GAUSDAL,2651
999,EP 999 TEST BUTIKK,999 EP 999 TEST BUTIKK,59.22604,10.99514,Østfold,true,FREDRIKSTAD,Østlandet,SELLEBAKK,1653
353,EP GRINI PLUSS,353 EP GRINI PLUSS,59.94561,10.59776,Akershus,true,BÆRUM,Østlandet,ØSTERÅS,1361
350,EP ROA,350 EP ROA,60.28642,10.62679,Akershus,true,LUNNER,Østlandet,ROA,2740
